Column1,Released,Released Worldwide,Title,Theatrical Distributor,Genre,Source,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,International Box Office,Worldwide Box Office
56,12/14/2012,12/11/2012,The Hobbit: An Unexpected Journey,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Fantasy,200000000,4045,4100,27719,84617303,303003568,714000000,1017003568
57,6/30/2010,6/30/2010,The Twilight Saga: Eclipse,Summit Entertainment,Drama,Based on Fiction Book/Short Story,Fantasy,68000000,4468,4468,24760,64832191,300531751,405571077,706102828
58,11/19/2010,11/18/2010,Harry Potter and the Deathly Hallows:…,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Fantasy,125000000,4125,4125,27887,125017372,296131568,663831867,959963435
59,7/16/2010,7/16/2010,Inception,Warner Bros.,Thriller/Suspense,Original Screenplay,Science Fiction,160000000,3792,3792,31053,62785337,292576195,542215766,834791961
60,11/16/2012,11/14/2012,"The Twilight Saga: Breaking Dawn, Part 2",Lionsgate,Drama,Based on Fiction Book/Short Story,Fantasy,136200000,4070,4070,24105,141067634,292324737,537400000,829724737
61,6/14/2013,6/14/2013,Man of Steel,Warner Bros.,Action,Based on Comic/Graphic Novel,Super Hero,225000000,4207,4207,21125,116619362,291045518,376954000,667999518
62,11/20/2015,11/18/2015,The Hunger Games: Mockingjay - Part 2,Lionsgate,Thriller/Suspense,Based on Fiction Book/Short Story,Science Fiction,160000000,4175,4175,25500,102665981,281723902,367262885,648986787
63,11/18/2011,11/18/2011,"The Twilight Saga: Breaking Dawn, Part 1",Summit Entertainment,Drama,Based on Fiction Book/Short Story,Fantasy,127500000,4061,4066,24750,138122261,281287133,408132918,689420051
64,10/4/2013,10/3/2013,Gravity,Warner Bros.,Thriller/Suspense,Original Screenplay,Contemporary Fiction,110000000,3575,3820,35020,55785112,274092705,415649487,689742192
65,11/9/2018,11/7/2018,Dr. Seuss’ The Grinch,Universal,Adventure,Based on Fiction Book/Short Story,Kids Fiction,75000000,4141,4141,31661,67572855,270620950,241048559,511669509
66,12/21/2016,11/24/2016,Sing,Universal,Adventure,Original Screenplay,Kids Fiction,75000000,4022,4029,28297,35258145,270329045,362154566,632483611
67,6/21/2013,6/21/2013,Monsters University,Walt Disney,Adventure,Original Screenplay,Kids Fiction,200000000,4004,4004,24656,82429469,268488329,475100000,743588329
68,6/30/2017,6/14/2017,Despicable Me 3,Universal,Adventure,Original Screenplay,Kids Fiction,75000000,4529,4535,35489,72434025,264624300,770062371,1034686671
69,7/3/2012,6/27/2012,The Amazing Spider-Man,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Super Hero,220000000,4318,4318,22495,62004688,262030663,495859604,757890267
70,4/4/2014,3/28/2014,Captain America: The Winter Soldier,Walt Disney,Action,Based on Comic/Graphic Novel,Super Hero,170000000,3938,3938,27560,95023721,259746958,454654931,714401889
71,12/13/2013,12/12/2013,The Hobbit: The Desolation of Smaug,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Fantasy,250000000,3903,3928,25150,73645197,258241522,701996565,960238087
72,2/7/2014,2/6/2014,The Lego Movie,Warner Bros.,Adventure,Based on Toy,Kids Fiction,60000000,3775,3890,32540,69050279,257784718,210300000,468084718
73,12/17/2014,12/10/2014,The Hobbit: The Battle of the Five Ar…,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Fantasy,250000000,3875,3875,21623,54724334,255119788,688209117,943328905
74,5/26/2011,5/26/2011,The Hangover Part II,Warner Bros.,Comedy,Original Screenplay,Contemporary Fiction,80000000,3615,3675,21605,85946294,254464305,332000000,586464305
75,7/9/2010,7/9/2010,Despicable Me,Universal,Adventure,Original Screenplay,Kids Fiction,69000000,3476,3602,33507,56397125,251513985,291950588,543464573
76,11/23/2016,1/27/2016,Moana,Walt Disney,Musical,Original Screenplay,Kids Fiction,150000000,3875,3875,31937,56631401,248757044,387679108,636436152
77,6/27/2014,6/25/2014,Transformers: Age of Extinction,Paramount Pictures,Action,Based on TV,Science Fiction,210000000,4233,4233,22124,100038390,245439076,858614996,1104054072
78,5/30/2014,5/28/2014,Maleficent,Walt Disney,Adventure,Spin-Off,Fantasy,180000000,3948,3948,29061,69431298,241407328,517129407,758536735
79,5/20/2011,5/20/2011,Pirates of the Caribbean: On Stranger…,Walt Disney,Adventure,Based on Theme Park Ride,Fantasy,379000000,4155,4164,25026,90151958,241063875,804600000,1045663875
80,5/21/2010,5/21/2010,Shrek Forever After,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Kids Fiction,165000000,4359,4386,25897,70838207,238736787,517507886,756244673
81,5/24/2013,5/24/2013,Fast and Furious 6,Universal,Action,Based on Factual Book/Article,Contemporary Fiction,160000000,3658,3771,20731,97375245,238679850,550620594,789300444
82,6/22/2012,6/21/2012,Brave,Walt Disney,Adventure,Original Screenplay,Kids Fiction,185000000,4164,4164,30444,66323594,237282182,317324350,554606532
83,3/8/2013,3/8/2013,Oz the Great and Powerful,Walt Disney,Adventure,Spin-Off,Fantasy,200000000,3912,3912,27888,79110453,234770996,255588055,490359051
84,11/18/2016,11/14/2016,Fantastic Beasts and Where to Find Them,Warner Bros.,Adventure,Spin-Off,Fantasy,180000000,4144,4144,26479,74403387,234037575,579436761,813474336
