Column1,Released,Released2,Title,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,International Box Office,Worldwide Box Office
46,11/22/2019,2019,A Beautiful Day in the Neighborhood,Drama,Based on Factual Book/Article,Live Action,Dramatization,45000000,61696436,6103236,67799672
47,9/27/2019,2019,Abominable,Adventure,Original Screenplay,Digital Animation,Kids Fiction,75000000,60716390,126425408,187141798
48,8/9/2019,2019,Dora and the Lost City of Gold,Adventure,Based on TV,Live Action,Kids Fiction,49000000,60477943,56941174,117419117
49,1/4/2019,2019,Escape Room,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,9000000,57000756,98312322,155313078
50,11/8/2019,2019,Midway,Action,Based on Real Life Events,Live Action,Dramatization,100000000,56846802,68121324,124968126
51,4/19/2019,2019,The Curse of La Llorona,Horror,Original Screenplay,Live Action,Contemporary Fiction,9000000,54733739,66927656,121661395
52,4/5/2019,2019,Pet Sematary,Horror,Remake,Live Action,Contemporary Fiction,21000000,54724696,54776450,109501146
53,2/8/2019,2019,What Men Want,Comedy,Based on Movie,Live Action,Contemporary Fiction,20000000,54611903,15300000,69911903
54,10/11/2019,2019,Gisaengchung,Drama,Original Screenplay,Live Action,Contemporary Fiction,11800000,53369745,201359964,254729709
55,9/20/2019,2019,Ad Astra,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,80000000,50188370,85243649,135432019
56,12/13/2019,2019,Uncut Gems,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,50023780,0,50023780
57,2/13/2019,2019,Isn’t it Romantic,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,31000000,48791187,0,48791187
58,10/11/2019,2019,Gemini Man,Action,Original Screenplay,Animation/Live Action,Science Fiction,140000000,48546770,118076935,166623705
59,5/31/2019,2019,MA,Horror,Original Screenplay,Live Action,Contemporary Fiction,5000000,45896028,15253725,61149753
60,3/15/2019,2019,Five Feet Apart,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,7000000,45729221,45783890,91513111
61,3/15/2019,2019,Wonder Park,Adventure,Original Screenplay,Digital Animation,Kids Fiction,100000000,45216793,69899191,115115984
62,9/20/2019,2019,Rambo: Last Blood,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,50000000,44819352,46600000,91419352
63,11/8/2019,2019,Playing with Fire,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,44451847,16012510,60464357
64,11/27/2019,2019,Queen & Slim,Drama,Original Screenplay,Live Action,Contemporary Fiction,20000000,43808310,3980510,47788820
65,11/1/2019,2019,Harriet,Drama,Based on Real Life Events,Live Action,Dramatization,17000000,43082155,166219,43248374
66,1/11/2019,2019,A Dog’s Way Home,Drama,Original Screenplay,Live Action,Contemporary Fiction,61000000,41952715,39199790,81152505
67,8/13/2019,2019,The Angry Birds Movie 2,Adventure,Based on Game,Digital Animation,Kids Fiction,65000000,41657076,110310634,151967710
68,4/12/2019,2019,Little,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,40860481,8347436,49207917
69,4/17/2019,2019,Breakthrough,Drama,Based on Factual Book/Article,Live Action,Dramatization,14000000,40713082,8309745,49022827
70,7/12/2019,2019,Crawl,Horror,Original Screenplay,Live Action,Contemporary Fiction,17000000,39014193,50994163,90008356
71,12/25/2019,2019,Just Mercy,Drama,Original Screenplay,Live Action,Dramatization,25000000,36001502,14400000,50401502
72,5/10/2019,2019,The Hustle,Comedy,Remake,Live Action,Contemporary Fiction,21000000,35417038,61993364,97410402
73,5/3/2019,2019,The Intruder,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,8000000,35388976,5204835,40593811
74,11/8/2019,2019,Last Christmas,Romantic Comedy,Based on Song,Live Action,Contemporary Fiction,30000000,35150750,86262879,121413629
75,8/23/2019,2019,Overcomer,Drama,Original Screenplay,Live Action,Contemporary Fiction,5000000,34700142,2948093,37648235
76,10/18/2019,2019,Jojo Rabbit,Black Comedy,Original Screenplay,Live Action,Historical Fiction,14000000,33370906,53746675,87117581
77,2/8/2019,2019,Cold Pursuit,Thriller/Suspense,Based on Movie,Live Action,Contemporary Fiction,60000000,32138862,30460297,62599159
78,12/13/2019,2019,Bombshell,Drama,Based on Real Life Events,Live Action,Dramatization,32000000,31762808,27726887,59489695
79,11/8/2019,2019,Doctor Sleep,Horror,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,45000000,31581712,40274527,71856239
80,1/16/2019,2019,Dragon Ball Super: Broly,Action,Based on TV,Digital Animation,Fantasy,8500000,30376755,92371000,122747755
81,5/3/2019,2019,Long Shot,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,40000000,30316271,23308153,53624424
82,6/21/2019,2019,Child’s Play,Horror,Remake,Live Action,Contemporary Fiction,0,29208403,14295990,43504393
83,8/21/2019,2019,Ready or Not,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,6000000,28714231,28083161,56797392
84,11/22/2019,2019,21 Bridges,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,33000000,28539757,11473888,40013645
85,2/13/2019,2019,Happy Death Day 2U,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,9000000,28148130,36538385,64686515
86,7/3/2019,2019,Midsommar,Horror,Original Screenplay,Live Action,Contemporary Fiction,9000000,27426363,19417067,46843430
87,12/20/2019,2019,Cats,Musical,Based on Musical or Opera,Animation/Live Action,Fantasy,100000000,27166770,48318516,75485286
88,8/9/2019,2019,The Art of Racing in the Rain,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,18000000,26402818,4594209,30997027
89,10/25/2019,2019,Countdown,Horror,Original Screenplay,Live Action,Contemporary Fiction,6500000,25621766,11200023,36821789
90,9/27/2019,2019,Judy,Drama,Based on Real Life Events,Live Action,Dramatization,0,24319961,19578111,43898072
91,2/14/2019,2019,Fighting With My Family,Comedy,Based on Real Life Events,Live Action,Dramatization,11000000,22958583,18544506,41503089
92,5/17/2019,2019,A Dog’s Journey,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,16000000,22782371,55253601,78035972
93,5/24/2019,2019,Booksmart,Comedy,Original Screenplay,Live Action,Contemporary Fiction,6000000,22680962,2268850,24949812
94,7/12/2019,2019,Stuber,Comedy,Original Screenplay,Live Action,Contemporary Fiction,16000000,22370452,7264317,29634769
95,12/13/2019,2019,Richard Jewell,Drama,Based on Factual Book/Article,Live Action,Dramatization,45000000,22345542,20755028,43100570
96,8/16/2019,2019,47 Meters Down: Uncaged,Thriller/Suspense,Based on Movie,Live Action,Contemporary Fiction,12000000,22260900,15630677,37891577
97,10/25/2019,2019,Black and Blue,Action,Original Screenplay,Live Action,Contemporary Fiction,12000000,22012729,667249,22679978
98,4/12/2019,2019,Hellboy,Horror,Remake,Live Action,Super Hero,50000000,21903748,18882732,40786480
99,6/14/2019,2019,Shaft,Comedy,Original Screenplay,Live Action,Contemporary Fiction,30000000,21360215,0,21360215
100,8/9/2019,2019,The Peanut Butter Falcon,Adventure,Original Screenplay,Live Action,Contemporary Fiction,6200000,20457158,2596595,23053753
